Movie,URL
Case 39,http://www.boxofficemojo.com/movies/?page=weekly&id=case39.htm
Friday the 13th,http://www.boxofficemojo.com/movies/?page=weekly&id=fridaythe13th09.htm
The Haunting in Connecticut,http://www.boxofficemojo.com/movies/?page=weekly&id=hauntinginconnecticut.htm
My Bloody Valentine 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=mybloodyvalentine09.htm
The Unborn,http://www.boxofficemojo.com/movies/?page=weekly&id=unborn09.htm
Drag Me to Hell,http://www.boxofficemojo.com/movies/?page=weekly&id=dragmetohell.htm
Cabin in the Woods,http://www.boxofficemojo.com/movies/?page=weekly&id=cabininthewoods.htm
Halloween 2,http://www.boxofficemojo.com/movies/?page=weekly&id=halloween209.htm
Last House on the Left,http://www.boxofficemojo.com/movies/?page=weekly&id=lasthouseontheleft09.htm
The Uninvited,http://www.boxofficemojo.com/movies/?page=weekly&id=uninvited.htm
Sorority Row,http://www.boxofficemojo.com/movies/?page=weekly&id=sororityrow.htm
Pandorum,http://www.boxofficemojo.com/movies/?page=weekly&id=pandorum.htm
The Collector,http://www.boxofficemojo.com/movies/?page=weekly&id=collector09.htm
